Participant,Timestamp,Group ID,Institution,S01_Least_encoded,S01_Most_encoded,S02_Least_encoded,S02_Most_encoded,S03_Least_encoded,S03_Most_encoded,S04_Least_encoded,S04_Most_encoded,S05_Least_encoded,S05_Most_encoded,S06_Least_encoded,S06_Most_encoded,S07_Least_encoded,S07_Most_encoded,S08_Least_encoded,S08_Most_encoded,S09_Least_encoded,S09_Most_encoded,S10_Least_encoded,S10_Most_encoded,S11_Least_encoded,S11_Most_encoded,S12_Least_encoded,S12_Most_encoded,S13_Least_encoded,S13_Most_encoded,S14_Least_encoded,S14_Most_encoded,S15_Least_encoded,S15_Most_encoded,S16_Least_encoded,S16_Most_encoded,S17_Least_encoded,S17_Most_encoded,S18_Least_encoded,S18_Most_encoded,S19_Least_encoded,S19_Most_encoded
126,2024-09-26 14:18:12.405,no group,University Of Connecticut ,-13,12,-23,21,-35,34,-43,41,-52,51,-61,62,-73,71,-85,82,-92,91,-104,102,-114,115,-121,122,-133,132,-143,141,-151,155,-163,162,-171,172,-181,184,-191,192
127,2024-09-27 22:57:00.168,no group,Uconn,-11,14,-22,23,-35,31,-41,42,-53,54,-61,63,-74,73,-85,81,-92,91,-104,102,-112,113,-121,124,-131,133,-141,143,-151,154,-161,164,-171,172,-183,182,-191,194
128,2024-09-28 15:54:21.361,BRIDGE24,University of Connecticut,-15,12,-24,25,-33,31,-43,42,-53,55,-61,65,-71,72,-85,81,-95,93,-103,104,-112,114,-125,124,-134,135,-145,141,-153,151,-165,162,-172,174,-183,184,-192,194
129,2024-09-28 19:30:01.827,BRIDGE24,University of Connecticut ,-11,12,-21,23,-34,31,-45,42,-51,55,-61,65,-71,75,-82,81,-91,93,-101,105,-111,112,-121,123,-131,135,-141,143,-151,155,-161,165,-172,173,-181,184,-192,195
130,2024-09-28 19:56:19.767,BRIDGE24,University of Connecticut,-11,12,-21,22,-31,32,-44,42,-51,54,-61,62,-74,73,-81,84,-91,93,-101,103,-111,115,-121,123,-131,132,-141,144,-151,154,-161,163,-171,172,-181,182,-191,194
131,2024-09-28 21:47:13.239,BRIDGE24,University of Connecticut,-15,12,-24,25,-34,31,-45,42,-54,52,-65,64,-74,73,-84,82,-95,93,-101,104,-111,114,-124,122,-131,135,-141,143,-153,154,-165,163,-174,172,-182,183,-195,193
132,2024-09-28 22:24:45.964,BRIDGE24,university of connecticut,-13,11,-21,22,-34,32,-41,45,-53,51,-61,65,-71,75,-81,82,-91,95,-101,105,-111,112,-121,122,-131,135,-143,144,-151,155,-161,165,-171,172,-181,182,-191,192
133,2024-09-29 13:45:01.906,BRIDGE24,University of Connecticut,-11,12,-21,25,-33,34,-44,42,-52,55,-61,63,-74,75,-82,84,-95,93,-101,104,-111,112,-121,123,-131,132,-141,142,-155,152,-165,162,-175,173,-181,184,-195,192
134,2024-09-29 14:10:29.255,BRIDGE24,The University Of Connecticut,-12,14,-21,25,-35,34,-41,42,-52,55,-65,62,-71,75,-82,84,-93,95,-101,102,-111,115,-121,122,-131,132,-143,144,-151,154,-165,161,-171,173,-181,182,-194,192
135,2024-09-29 15:29:32.559,BRIDGE24,Uconn,-11,12,-22,25,-35,34,-45,42,-54,55,-61,62,-74,72,-81,84,-94,93,-101,104,-111,115,-124,122,-131,132,-145,143,-151,152,-164,162,-175,172,-183,182,-194,193
136,2024-09-29 17:12:30.844,No response,University of Connecticut,-15,12,-24,21,-35,31,-44,42,-54,53,-64,62,-73,72,-83,81,-92,91,-104,102,-114,111,-124,122,-134,132,-144,141,-154,151,-164,161,-172,171,-183,181,-194,191
137,2024-09-29 21:36:29.555,BRIDGE24,University of Connecticut,-15,12,-24,23,-35,31,-45,42,-54,51,-61,62,-74,71,-84,82,-94,91,-103,104,-111,114,-125,122,-131,132,-145,142,-151,152,-165,161,-175,172,-185,182,-195,193
138,2024-09-30 00:16:11.929,BRIDGE24,University of Connecticut,-11,15,-24,25,-35,34,-45,41,-53,51,-61,63,-71,75,-82,83,-95,93,-101,103,-111,113,-121,122,-131,133,-141,142,-151,155,-161,164,-175,172,-181,182,-195,194
139,2024-09-30 01:09:07.211,BRIDGE24,University Of Connecticut,-11,12,-21,25,-32,34,-44,42,-52,54,-61,62,-75,72,-84,82,-91,93,-105,102,-111,113,-121,124,-131,132,-145,141,-151,154,-163,165,-173,174,-183,184,-195,194
140,2024-09-30 01:16:42.843,No response,University of Connecticut,-14,12,-22,23,-35,34,-43,45,-52,54,-61,62,-74,71,-83,82,-95,93,-103,104,-111,113,-124,123,-131,132,-145,144,-153,154,-164,163,-174,172,-185,184,-191,194
141,2024-09-30 09:40:24.558,BRIDGE24,University of Connecticut,-11,13,-24,25,-31,34,-45,42,-52,55,-61,62,-71,73,-82,84,-92,91,-101,104,-111,114,-121,124,-131,133,-142,143,-151,152,-161,162,-171,173,-181,185,-191,194
142,2024-09-30 10:30:49.692,no group,Univeristy of Connecticut,-11,12,-21,23,-33,31,-41,42,-53,55,-61,63,-74,73,-82,81,-91,93,-101,105,-111,114,-121,124,-131,134,-145,142,-153,155,-163,162,-173,172,-183,184,-193,195
143,2024-09-30 10:35:23.242,BRIDGE24,University of Connecticut,-11,12,-21,23,-31,32,-41,42,-51,55,-61,63,-71,73,-82,81,-91,93,-101,105,-111,114,-121,124,-131,134,-145,142,-153,155,-163,162,-173,172,-183,184,-193,195
144,2024-09-30 11:54:59.089,no group ,University of Connecticut,-11,12,-24,22,-35,34,-45,41,-54,55,-61,63,-74,75,-82,83,-94,93,-101,103,-114,112,-121,125,-131,132,-143,144,-151,152,-165,163,-172,173,-182,181,-195,191
145,2024-09-30 12:00:14.614,BRIDGE24,University of Connecticut,-11,12,-24,22,-35,34,-45,41,-54,55,-61,63,-74,75,-82,83,-94,93,-101,103,-114,112,-121,125,-131,132,-143,144,-151,152,-165,163,-172,173,-182,181,-195,191
146,2024-09-30 15:38:41.917,BRIDGE24,University of Connecticut,-11,14,-21,23,-31,34,-43,45,-52,53,-61,65,-71,73,-85,81,-92,91,-101,103,-111,113,-121,123,-131,134,-145,143,-151,155,-161,163,-173,172,-181,182,-192,195
147,2024-09-30 16:37:16.408,BRIDGE24,University of Connecticut,-11,14,-21,22,-31,32,-44,41,-51,54,-61,64,-74,71,-81,84,-91,93,-101,102,-111,115,-121,122,-131,132,-145,141,-151,155,-163,162,-175,172,-184,182,-195,191
148,2024-09-30 16:38:40.661,BRIDGE24,University of Connecticut ,-11,12,-21,23,-31,34,-43,41,-51,55,-61,64,-73,72,-82,84,-91,93,-105,104,-111,114,-122,123,-134,132,-144,142,-155,152,-165,162,-175,172,-185,182,-193,194
149,2024-09-30 17:04:42.889,BRIDGE24,Uconn,-13,12,-24,22,-33,32,-43,41,-53,51,-63,62,-73,72,-84,81,-94,91,-101,102,-113,112,-123,125,-133,132,-143,141,-153,155,-163,164,-174,172,-183,185,-193,194
150,2024-10-06 14:27:09.618,BRIDGE24,University of  Connecticut,-13,15,-21,25,-33,31,-42,41,-54,51,-62,61,-73,75,-85,82,-91,94,-101,104,-111,113,-124,122,-131,135,-145,141,-151,152,-165,161,-172,171,-181,183,-195,191
151,2024-10-06 21:00:03.933,No response,University of Connecticut ,-11,15,-24,22,-31,34,-43,42,-51,55,-61,62,-74,72,-84,81,-94,91,-101,105,-111,114,-121,125,-131,134,-143,144,-154,152,-161,162,-171,172,-181,185,-191,195
152,2024-10-07 16:23:22.345,BRIDGE24,University Of Connecticut,-14,13,-24,21,-35,31,-44,42,-52,51,-61,62,-74,75,-85,81,-92,91,-103,102,-115,111,-125,122,-131,132,-141,142,-155,152,-163,162,-174,172,-181,184,-192,191
